Sequence,Frames,MOTA,MOTP,IDF1,Precision,Recall,IDSW,FP,FN
uav0000086_00000_v,464,0.384197664947054,0.25891347169869133,0.45807770961145194,0.8696212316413295,0.4581862612001086,117,1518,11973
uav0000117_02622_v,349,0.04705274043433294,0.2933327768157339,0.1723221741440826,0.5914930059948615,0.21427094105480868,186,1431,7598
uav0000137_00458_v,233,0.2574470373158404,0.27493534505140743,0.3637914986037853,0.8485944892847203,0.32788471878696634,111,544,6250
uav0000182_00000_v,314,-0.27234042553191484,0.33002103588623005,0.1713362068965517,0.27165932452276065,0.1574468085106383,9,496,990
uav0000268_05773_v,966,-0.0010080645161290036,,0.0,0.0,0.0,0,2,1984
uav0000305_00000_v,175,0.0,,0.0,,0.0,0,0,603
uav0000339_00001_v,275,0.2525989421849353,0.23460045437229515,0.2986225895316804,0.9105233539673607,0.2950939266824731,74,159,3865
