Sequence,Frames,MOTA,MOTP,IDF1,Precision,Recall,IDSW,FP,FN
uav0000086_00000_v,464,0.48094850212688933,0.27744730796047423,0.6194191133835855,0.8384246402423631,0.6011403746945425,96,2560,8814
uav0000117_02622_v,349,0.027611168562564625,0.2959282278976117,0.29416342412451363,0.5327647476901208,0.3875904860392968,194,3287,5922
uav0000137_00458_v,233,0.33949887084632757,0.29486617037289947,0.4783910439989586,0.7690024732069249,0.5015593074524143,106,1401,4635
uav0000182_00000_v,314,-1.119148936170213,0.3094942402437758,0.21651716671821838,0.18221574344023322,0.3191489361702128,7,1683,800
uav0000268_05773_v,966,-0.0010080645161290036,,0.0,0.0,0.0,0,2,1984
uav0000305_00000_v,175,-0.19071310116086226,,0.0,0.0,0.0,0,115,603
uav0000339_00001_v,275,0.31059638883822727,0.2885448653266451,0.4297049342920903,0.8397212543554007,0.3955863578333029,52,414,3314
