Sequence,Frames,MOTA,MOTP,IDF1,Precision,Recall,IDSW,FP,FN
uav0000086_00000_v,464,0.3791293329713096,0.2550874146907713,0.4406840255019961,0.8708580397628183,0.4519413521585664,128,1481,12111
uav0000117_02622_v,349,0.047983453981385704,0.28831814982048715,0.1672362724994304,0.5913640263082642,0.2138572905894519,175,1429,7602
uav0000137_00458_v,233,0.25099473061619526,0.2775122376381049,0.356776100824646,0.8458509142053446,0.3233681040972148,125,548,6292
uav0000182_00000_v,314,-0.23063829787234047,0.32057741832886505,0.12447636146020347,0.23588709677419356,0.09957446808510638,9,379,1058
uav0000268_05773_v,966,-0.0010080645161290036,,0.0,0.0,0.0,0,2,1984
uav0000305_00000_v,175,0.0,,0.0,,0.0,0,0,603
uav0000339_00001_v,275,0.24913368593835494,0.23496644305598638,0.2978371676539468,0.9048423423423423,0.2930877256976108,72,169,3876
