Sequence,Frames,MOTA,MOTP,IDF1,Precision,Recall,IDSW,FP,FN
uav0000086_00000_v,464,0.4721241741334057,0.2778280200301445,0.5964930812295342,0.8342422320862397,0.5953479952936918,109,2614,8942
uav0000117_02622_v,349,0.028128231644260593,0.29030108180375563,0.26767522723113524,0.5388963260449204,0.3746639089968976,251,3100,6047
uav0000137_00458_v,233,0.31476502849768795,0.29357698173688096,0.45432391490482776,0.7605370496261047,0.4812345413485321,139,1409,4824
uav0000182_00000_v,314,-1.032340425531915,0.3220179134499147,0.15499153976311336,0.16179775280898875,0.2451063829787234,9,1492,887
uav0000268_05773_v,966,-0.0010080645161290036,,0.0,0.0,0.0,0,2,1984
uav0000305_00000_v,175,-0.16749585406301826,,0.0,0.0,0.0,0,101,603
uav0000339_00001_v,275,0.2958234543133321,0.28522826262470785,0.3350151362260343,0.847443762781186,0.37789531278497174,77,373,3411
