Sequence,Frames,MOTA,MOTP,IDF1,Precision,Recall,IDSW,FP,FN
uav0000086_00000_v,464,0.4757444112589374,0.2771170473767548,0.6009813232035455,0.8352941176470589,0.5976106434971491,89,2604,8892
uav0000117_02622_v,349,0.028852119958634903,0.29517030040872433,0.29994008388256443,0.5333333333333333,0.38717683557394,189,3276,5926
uav0000137_00458_v,233,0.33229379503172385,0.2943508784147591,0.4860007813517385,0.7631622379930681,0.49725776965265084,99,1435,4675
uav0000182_00000_v,314,-1.0774468085106381,0.32345195185034226,0.17092337917485265,0.16444917509313464,0.2629787234042553,5,1570,866
uav0000268_05773_v,966,-0.0010080645161290036,,0.0,0.0,0.0,0,2,1984
uav0000305_00000_v,175,-0.19071310116086226,,0.0,0.0,0.0,0,115,603
uav0000339_00001_v,275,0.3102316250227978,0.28855105570023876,0.4295984134853743,0.8386847195357834,0.3954039759255882,50,417,3315
